dataset,num_cores,n_estimators,max_depth,training_time_s,data_fraction,actual_samples
taxis_usa,15,500,6,23.503024339675903,0.25,3187246
taxis_usa,15,500,10,39.07816457748413,0.25,3187246
taxis_usa,20,100,6,7.155042886734009,0.25,3187246
taxis_usa,20,100,10,9.571657419204712,0.25,3187246
taxis_usa,20,500,6,21.145071506500244,0.25,3187246
taxis_usa,20,500,10,35.08666682243347,0.25,3187246
taxis_usa,1,100,6,64.01070070266724,0.5,6374493
taxis_usa,1,100,10,91.69243144989014,0.5,6374493
taxis_usa,1,500,6,225.58788871765137,0.5,6374493
taxis_usa,1,500,10,338.1839346885681,0.5,6374493
taxis_usa,5,100,6,21.643112897872925,0.5,6374493
taxis_usa,5,100,10,29.66951012611389,0.5,6374493
taxis_usa,5,500,6,72.60061407089233,0.5,6374493
taxis_usa,5,500,10,106.3240339756012,0.5,6374493
taxis_usa,10,100,6,18.60679054260254,0.5,6374493
taxis_usa,10,100,10,24.674254417419434,0.5,6374493
taxis_usa,10,500,6,58.025959968566895,0.5,6374493
taxis_usa,10,500,10,87.09958696365356,0.5,6374493
taxis_usa,15,100,6,17.23901128768921,0.5,6374493
taxis_usa,15,100,10,22.680655002593994,0.5,6374493
taxis_usa,15,500,6,50.69695854187012,0.5,6374493
taxis_usa,15,500,10,77.4918212890625,0.5,6374493
taxis_usa,20,100,6,15.692526817321777,0.5,6374493
taxis_usa,20,100,10,20.91564440727234,0.5,6374493
taxis_usa,20,500,6,47.10889458656311,0.5,6374493
taxis_usa,20,500,10,71.28375244140625,0.5,6374493
taxis_usa,1,100,6,120.74310803413391,1.0,12748986
taxis_usa,1,100,10,166.95615887641907,1.0,12748986
taxis_usa,1,500,6,444.2058470249176,1.0,12748986
taxis_usa,1,500,10,636.2070727348328,1.0,12748986
taxis_usa,5,100,6,38.53576445579529,1.0,12748986
taxis_usa,5,100,10,52.61713457107544,1.0,12748986
taxis_usa,5,500,6,135.20759534835815,1.0,12748986
taxis_usa,5,500,10,196.42714166641235,1.0,12748986
taxis_usa,10,100,6,34.79398202896118,1.0,12748986
taxis_usa,10,100,10,44.8291289806366,1.0,12748986
taxis_usa,10,500,6,114.14329528808594,1.0,12748986
taxis_usa,10,500,10,162.41866755485535,1.0,12748986
taxis_usa,15,100,6,29.121243238449097,1.0,12748986
taxis_usa,15,100,10,40.16814875602722,1.0,12748986
taxis_usa,15,500,6,95.1476514339447,1.0,12748986
taxis_usa,15,500,10,139.59862399101257,1.0,12748986
taxis_usa,20,100,6,28.827202320098877,1.0,12748986
taxis_usa,20,100,10,37.23066329956055,1.0,12748986
taxis_usa,20,500,6,86.74352860450745,1.0,12748986
taxis_usa,20,500,10,130.7799186706543,1.0,12748986
yearprediction,1,100,6,11.966067790985107,0.25,128836
yearprediction,1,100,10,53.45036435127258,0.25,128836
yearprediction,1,500,6,45.74177932739258,0.25,128836
yearprediction,1,500,10,261.4946436882019,0.25,128836
yearprediction,5,100,6,2.947009563446045,0.25,128836
yearprediction,5,100,10,13.522538185119629,0.25,128836
yearprediction,5,500,6,11.301310062408447,0.25,128836
yearprediction,5,500,10,67.0044846534729,0.25,128836
yearprediction,10,100,6,2.770660161972046,0.25,128836
yearprediction,10,100,10,13.345713138580322,0.25,128836
yearprediction,10,500,6,11.734182119369507,0.25,128836
yearprediction,10,500,10,62.34027457237244,0.25,128836
yearprediction,15,100,6,2.0755550861358643,0.25,128836
