dataset,num_cores,n_estimators,max_depth,training_time_s,data_fraction,actual_samples
taxis_usa,10,500,10,157.03637957572937,1.0,12748986
taxis_usa,15,100,6,30.54464077949524,1.0,12748986
taxis_usa,15,100,10,38.88160181045532,1.0,12748986
taxis_usa,15,500,6,91.92490267753601,1.0,12748986
taxis_usa,15,500,10,136.52532744407654,1.0,12748986
taxis_usa,20,100,6,27.445880889892578,1.0,12748986
taxis_usa,20,100,10,36.85189747810364,1.0,12748986
taxis_usa,20,500,6,90.24650025367737,1.0,12748986
taxis_usa,20,500,10,130.9000186920166,1.0,12748986
yearprediction,1,100,6,11.209841966629028,0.25,128836
yearprediction,1,100,10,51.90812087059021,0.25,128836
yearprediction,1,500,6,45.21296310424805,0.25,128836
yearprediction,1,500,10,259.0237703323364,0.25,128836
yearprediction,5,100,6,2.9805939197540283,0.25,128836
yearprediction,5,100,10,13.966735124588013,0.25,128836
yearprediction,5,500,6,10.976585149765015,0.25,128836
yearprediction,5,500,10,68.23512244224548,0.25,128836
yearprediction,10,100,6,2.724705219268799,0.25,128836
yearprediction,10,100,10,13.081171035766602,0.25,128836
yearprediction,10,500,6,11.8585524559021,0.25,128836
yearprediction,10,500,10,64.1160500049591,0.25,128836
yearprediction,15,100,6,2.1422083377838135,0.25,128836
yearprediction,15,100,10,10.084517002105713,0.25,128836
yearprediction,15,500,6,8.816800594329834,0.25,128836
yearprediction,15,500,10,48.62387180328369,0.25,128836
yearprediction,20,100,6,1.8674168586730957,0.25,128836
yearprediction,20,100,10,8.555865287780762,0.25,128836
yearprediction,20,500,6,7.317199945449829,0.25,128836
yearprediction,20,500,10,41.190582275390625,0.25,128836
yearprediction,1,100,6,20.272495985031128,0.5,257672
yearprediction,1,100,10,64.34962677955627,0.5,257672
yearprediction,1,500,6,75.63908267021179,0.5,257672
yearprediction,1,500,10,326.1650650501251,0.5,257672
yearprediction,5,100,6,5.421806573867798,0.5,257672
yearprediction,5,100,10,17.738088846206665,0.5,257672
yearprediction,5,500,6,34.33120131492615,0.5,257672
yearprediction,5,500,10,141.0738742351532,0.5,257672
yearprediction,10,100,6,4.846752882003784,0.5,257672
yearprediction,10,100,10,16.41333818435669,0.5,257672
yearprediction,10,500,6,19.698100090026855,0.5,257672
yearprediction,10,500,10,79.30292248725891,0.5,257672
yearprediction,15,100,6,3.4376580715179443,0.5,257672
yearprediction,15,100,10,12.382601976394653,0.5,257672
yearprediction,15,500,6,13.783585548400879,0.5,257672
yearprediction,15,500,10,57.681233167648315,0.5,257672
yearprediction,20,100,6,2.857722043991089,0.5,257672
yearprediction,20,100,10,10.254555702209473,0.5,257672
yearprediction,20,500,6,11.11366081237793,0.5,257672
yearprediction,20,500,10,47.599159955978394,0.5,257672
yearprediction,1,100,6,38.81530022621155,1.0,515345
yearprediction,1,100,10,93.008455991745,1.0,515345
yearprediction,1,500,6,135.3082981109619,1.0,515345
yearprediction,1,500,10,424.6945116519928,1.0,515345
yearprediction,5,100,6,9.1928231716156,1.0,515345
yearprediction,5,100,10,23.61888360977173,1.0,515345
yearprediction,5,500,6,32.5725953578949,1.0,515345
yearprediction,5,500,10,108.98693943023682,1.0,515345
yearprediction,10,100,6,8.801643133163452,1.0,515345
yearprediction,10,100,10,21.760566234588623,1.0,515345
